WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=52662:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 8313


Count of Edges = 4 , Packets = 1000, nanotimes = 8122


Count of Edges = 4 , Packets = 1000, nanotimes = 9072


Count of Edges = 4 , Packets = 1000, nanotimes = 10630


Count of Edges = 4 , Packets = 1000, nanotimes = 8209


Count of Edges = 4 , Packets = 1000, nanotimes = 8192


Count of Edges = 4 , Packets = 1000, nanotimes = 10208


Count of Edges = 4 , Packets = 1000, nanotimes = 10638


Count of Edges = 4 , Packets = 1000, nanotimes = 10088


Count of Edges = 4 , Packets = 1000, nanotimes = 8423


Count of Edges = 4 , Packets = 1000, nanotimes = 7648


Count of Edges = 4 , Packets = 1000, nanotimes = 6815


Count of Edges = 4 , Packets = 1000, nanotimes = 9157


Count of Edges = 4 , Packets = 1000, nanotimes = 8079


Count of Edges = 4 , Packets = 1000, nanotimes = 7681


Count of Edges = 4 , Packets = 1000, nanotimes = 8121


Count of Edges = 4 , Packets = 1000, nanotimes = 7798


Count of Edges = 4 , Packets = 1000, nanotimes = 8113


Count of Edges = 4 , Packets = 1000, nanotimes = 7617


Count of Edges = 4 , Packets = 1000, nanotimes = 6919


Count of Edges = 4 , Packets = 1000, nanotimes = 8821


Count of Edges = 4 , Packets = 1000, nanotimes = 12074


Count of Edges = 4 , Packets = 1000, nanotimes = 9426


Count of Edges = 4 , Packets = 1000, nanotimes = 9483


Count of Edges = 4 , Packets = 1000, nanotimes = 12355


Count of Edges = 4 , Packets = 1000, nanotimes = 7488


Count of Edges = 4 , Packets = 1000, nanotimes = 9330


Count of Edges = 4 , Packets = 1000, nanotimes = 10795


Count of Edges = 4 , Packets = 1000, nanotimes = 8655


Count of Edges = 4 , Packets = 1000, nanotimes = 8464


Count of Edges = 4 , Packets = 1000, nanotimes = 12235


Count of Edges = 4 , Packets = 1000, nanotimes = 11668


Count of Edges = 4 , Packets = 1000, nanotimes = 7906


Count of Edges = 4 , Packets = 1000, nanotimes = 9780


Count of Edges = 4 , Packets = 1000, nanotimes = 11897


Count of Edges = 4 , Packets = 1000, nanotimes = 8920


Count of Edges = 4 , Packets = 1000, nanotimes = 11332


Count of Edges = 4 , Packets = 1000, nanotimes = 11206


Count of Edges = 4 , Packets = 1000, nanotimes = 11690


Count of Edges = 4 , Packets = 1000, nanotimes = 7643


Count of Edges = 4 , Packets = 1000, nanotimes = 8752


Count of Edges = 4 , Packets = 1000, nanotimes = 11747


Count of Edges = 4 , Packets = 1000, nanotimes = 11581


Count of Edges = 4 , Packets = 1000, nanotimes = 8782


Count of Edges = 4 , Packets = 1000, nanotimes = 8164


Count of Edges = 4 , Packets = 1000, nanotimes = 7753


Count of Edges = 4 , Packets = 1000, nanotimes = 9403


Count of Edges = 4 , Packets = 1000, nanotimes = 8041


Count of Edges = 4 , Packets = 1000, nanotimes = 7766


Count of Edges = 4 , Packets = 1000, nanotimes = 7682


Count of Edges = 4 , Packets = 1000, nanotimes = 7817


Count of Edges = 4 , Packets = 1000, nanotimes = 7627


Count of Edges = 4 , Packets = 1000, nanotimes = 8473


Count of Edges = 4 , Packets = 1000, nanotimes = 7220


Count of Edges = 4 , Packets = 1000, nanotimes = 7058


Count of Edges = 4 , Packets = 1000, nanotimes = 6205


Count of Edges = 4 , Packets = 1000, nanotimes = 7023


Count of Edges = 4 , Packets = 1000, nanotimes = 6050


Count of Edges = 4 , Packets = 1000, nanotimes = 7244


Count of Edges = 4 , Packets = 1000, nanotimes = 6921


Count of Edges = 4 , Packets = 1000, nanotimes = 6780


Count of Edges = 4 , Packets = 1000, nanotimes = 6513


Count of Edges = 4 , Packets = 1000, nanotimes = 6466


Count of Edges = 4 , Packets = 1000, nanotimes = 7319


Count of Edges = 4 , Packets = 1000, nanotimes = 6227


Count of Edges = 4 , Packets = 1000, nanotimes = 6968


Count of Edges = 4 , Packets = 1000, nanotimes = 7154


Count of Edges = 4 , Packets = 1000, nanotimes = 7333


Count of Edges = 4 , Packets = 1000, nanotimes = 7678


Count of Edges = 4 , Packets = 1000, nanotimes = 7144


Count of Edges = 4 , Packets = 1000, nanotimes = 7096


Count of Edges = 4 , Packets = 1000, nanotimes = 7206


Count of Edges = 4 , Packets = 1000, nanotimes = 7558


Count of Edges = 4 , Packets = 1000, nanotimes = 6501


Count of Edges = 4 , Packets = 1000, nanotimes = 6408


Count of Edges = 4 , Packets = 1000, nanotimes = 6383


Count of Edges = 4 , Packets = 1000, nanotimes = 7189


Count of Edges = 4 , Packets = 1000, nanotimes = 7507


Count of Edges = 4 , Packets = 1000, nanotimes = 7056


Count of Edges = 4 , Packets = 1000, nanotimes = 6587


Count of Edges = 4 , Packets = 1000, nanotimes = 6762


Count of Edges = 4 , Packets = 1000, nanotimes = 6470


Count of Edges = 4 , Packets = 1000, nanotimes = 6896


Count of Edges = 4 , Packets = 1000, nanotimes = 7099


Count of Edges = 4 , Packets = 1000, nanotimes = 7579


Count of Edges = 4 , Packets = 1000, nanotimes = 7124


Count of Edges = 4 , Packets = 1000, nanotimes = 7020


Count of Edges = 4 , Packets = 1000, nanotimes = 7908


Count of Edges = 4 , Packets = 1000, nanotimes = 6818


Count of Edges = 4 , Packets = 1000, nanotimes = 6459


Count of Edges = 4 , Packets = 1000, nanotimes = 6735


Count of Edges = 4 , Packets = 1000, nanotimes = 7698


Count of Edges = 4 , Packets = 1000, nanotimes = 6996


Count of Edges = 4 , Packets = 1000, nanotimes = 6820


Count of Edges = 4 , Packets = 1000, nanotimes = 7071


Count of Edges = 4 , Packets = 1000, nanotimes = 6942


Count of Edges = 4 , Packets = 1000, nanotimes = 6564


Count of Edges = 4 , Packets = 1000, nanotimes = 8544


Count of Edges = 4 , Packets = 1000, nanotimes = 6982


Count of Edges = 4 , Packets = 1000, nanotimes = 7127


Count of Edges = 4 , Packets = 1000, nanotimes = 7441


Count of Edges = 4 , Packets = 1000, nanotimes = 7380


Count of Edges = 4 , Packets = 1000, nanotimes = 6615


Count of Edges = 4 , Packets = 1000, nanotimes = 6746


Count of Edges = 4 , Packets = 1000, nanotimes = 8083


Count of Edges = 4 , Packets = 1000, nanotimes = 6614


Count of Edges = 4 , Packets = 1000, nanotimes = 7091


Count of Edges = 4 , Packets = 1000, nanotimes = 7108


Count of Edges = 4 , Packets = 1000, nanotimes = 6663


Count of Edges = 4 , Packets = 1000, nanotimes = 7171


Count of Edges = 4 , Packets = 1000, nanotimes = 6646


Count of Edges = 4 , Packets = 1000, nanotimes = 6583


Count of Edges = 4 , Packets = 1000, nanotimes = 6654


Count of Edges = 4 , Packets = 1000, nanotimes = 7178


Count of Edges = 4 , Packets = 1000, nanotimes = 8076


Count of Edges = 4 , Packets = 1000, nanotimes = 6385


Count of Edges = 4 , Packets = 1000, nanotimes = 7431


Count of Edges = 4 , Packets = 1000, nanotimes = 7244


Count of Edges = 4 , Packets = 1000, nanotimes = 7021


Count of Edges = 4 , Packets = 1000, nanotimes = 6919


Count of Edges = 4 , Packets = 1000, nanotimes = 7091

0,004 s/op
# Warmup Iteration   2: 
Count of Edges = 4 , Packets = 1000, nanotimes = 10572


Count of Edges = 4 , Packets = 1000, nanotimes = 7985


Count of Edges = 4 , Packets = 1000, nanotimes = 8006


Count of Edges = 4 , Packets = 1000, nanotimes = 7705


Count of Edges = 4 , Packets = 1000, nanotimes = 7618


Count of Edges = 4 , Packets = 1000, nanotimes = 7281


Count of Edges = 4 , Packets = 1000, nanotimes = 7310


Count of Edges = 4 , Packets = 1000, nanotimes = 6985


Count of Edges = 4 , Packets = 1000, nanotimes = 8150


Count of Edges = 4 , Packets = 1000, nanotimes = 6991


Count of Edges = 4 , Packets = 1000, nanotimes = 6917


Count of Edges = 4 , Packets = 1000, nanotimes = 7095


Count of Edges = 4 , Packets = 1000, nanotimes = 7444


Count of Edges = 4 , Packets = 1000, nanotimes = 7336


Count of Edges = 4 , Packets = 1000, nanotimes = 6923


Count of Edges = 4 , Packets = 1000, nanotimes = 9357


Count of Edges = 4 , Packets = 1000, nanotimes = 7195


Count of Edges = 4 , Packets = 1000, nanotimes = 6618


Count of Edges = 4 , Packets = 1000, nanotimes = 7591


Count of Edges = 4 , Packets = 1000, nanotimes = 7047


Count of Edges = 4 , Packets = 1000, nanotimes = 9052


Count of Edges = 4 , Packets = 1000, nanotimes = 7451


Count of Edges = 4 , Packets = 1000, nanotimes = 7411


Count of Edges = 4 , Packets = 1000, nanotimes = 7200


Count of Edges = 4 , Packets = 1000, nanotimes = 7251


Count of Edges = 4 , Packets = 1000, nanotimes = 8490


Count of Edges = 4 , Packets = 1000, nanotimes = 7694


Count of Edges = 4 , Packets = 1000, nanotimes = 7327


Count of Edges = 4 , Packets = 1000, nanotimes = 7171


Count of Edges = 4 , Packets = 1000, nanotimes = 7043


Count of Edges = 4 , Packets = 1000, nanotimes = 7220


Count of Edges = 4 , Packets = 1000, nanotimes = 7515


Count of Edges = 4 , Packets = 1000, nanotimes = 7387


Count of Edges = 4 , Packets = 1000, nanotimes = 8492


Count of Edges = 4 , Packets = 1000, nanotimes = 7836


Count of Edges = 4 , Packets = 1000, nanotimes = 7025


Count of Edges = 4 , Packets = 1000, nanotimes = 7133


Count of Edges = 4 , Packets = 1000, nanotimes = 7390


Count of Edges = 4 , Packets = 1000, nanotimes = 8591


Count of Edges = 4 , Packets = 1000, nanotimes = 7118


Count of Edges = 4 , Packets = 1000, nanotimes = 7645


Count of Edges = 4 , Packets = 1000, nanotimes = 6938


Count of Edges = 4 , Packets = 1000, nanotimes = 7714


Count of Edges = 4 , Packets = 1000, nanotimes = 7647


Count of Edges = 4 , Packets = 1000, nanotimes = 7330


Count of Edges = 4 , Packets = 1000, nanotimes = 7449


Count of Edges = 4 , Packets = 1000, nanotimes = 7559


Count of Edges = 4 , Packets = 1000, nanotimes = 7418


Count of Edges = 4 , Packets = 1000, nanotimes = 7288


Count of Edges = 4 , Packets = 1000, nanotimes = 7404


Count of Edges = 4 , Packets = 1000, nanotimes = 7214


Count of Edges = 4 , Packets = 1000, nanotimes = 7184


Count of Edges = 4 , Packets = 1000, nanotimes = 6927


Count of Edges = 4 , Packets = 1000, nanotimes = 7014


Count of Edges = 4 , Packets = 1000, nanotimes = 7545


Count of Edges = 4 , Packets = 1000, nanotimes = 6682


Count of Edges = 4 , Packets = 1000, nanotimes = 8006


Count of Edges = 4 , Packets = 1000, nanotimes = 6938


Count of Edges = 4 , Packets = 1000, nanotimes = 7037


Count of Edges = 4 , Packets = 1000, nanotimes = 7365


Count of Edges = 4 , Packets = 1000, nanotimes = 8393


Count of Edges = 4 , Packets = 1000, nanotimes = 7495


Count of Edges = 4 , Packets = 1000, nanotimes = 6665


Count of Edges = 4 , Packets = 1000, nanotimes = 7429


Count of Edges = 4 , Packets = 1000, nanotimes = 24308


Count of Edges = 4 , Packets = 1000, nanotimes = 7915


Count of Edges = 4 , Packets = 1000, nanotimes = 7403


Count of Edges = 4 , Packets = 1000, nanotimes = 6376


Count of Edges = 4 , Packets = 1000, nanotimes = 6536


Count of Edges = 4 , Packets = 1000, nanotimes = 8101


Count of Edges = 4 , Packets = 1000, nanotimes = 8518


Count of Edges = 4 , Packets = 1000, nanotimes = 7699


Count of Edges = 4 , Packets = 1000, nanotimes = 6991


Count of Edges = 4 , Packets = 1000, nanotimes = 7174


Count of Edges = 4 , Packets = 1000, nanotimes = 7017


Count of Edges = 4 , Packets = 1000, nanotimes = 7276


Count of Edges = 4 , Packets = 1000, nanotimes = 8248


Count of Edges = 4 , Packets = 1000, nanotimes = 7662


Count of Edges = 4 , Packets = 1000, nanotimes = 8102


Count of Edges = 4 , Packets = 1000, nanotimes = 7005


Count of Edges = 4 , Packets = 1000, nanotimes = 7046


Count of Edges = 4 , Packets = 1000, nanotimes = 7085


Count of Edges = 4 , Packets = 1000, nanotimes = 8121


Count of Edges = 4 , Packets = 1000, nanotimes = 7558


Count of Edges = 4 , Packets = 1000, nanotimes = 7456


Count of Edges = 4 , Packets = 1000, nanotimes = 7316


Count of Edges = 4 , Packets = 1000, nanotimes = 6917


Count of Edges = 4 , Packets = 1000, nanotimes = 8837


Count of Edges = 4 , Packets = 1000, nanotimes = 7408


Count of Edges = 4 , Packets = 1000, nanotimes = 7172


Count of Edges = 4 , Packets = 1000, nanotimes = 7053


Count of Edges = 4 , Packets = 1000, nanotimes = 6901


Count of Edges = 4 , Packets = 1000, nanotimes = 8391


Count of Edges = 4 , Packets = 1000, nanotimes = 7092


Count of Edges = 4 , Packets = 1000, nanotimes = 7467


Count of Edges = 4 , Packets = 1000, nanotimes = 7458


Count of Edges = 4 , Packets = 1000, nanotimes = 7558


Count of Edges = 4 , Packets = 1000, nanotimes = 7118


Count of Edges = 4 , Packets = 1000, nanotimes = 7680


Count of Edges = 4 , Packets = 1000, nanotimes = 6819


Count of Edges = 4 , Packets = 1000, nanotimes = 7525


Count of Edges = 4 , Packets = 1000, nanotimes = 7739


Count of Edges = 4 , Packets = 1000, nanotimes = 7138


Count of Edges = 4 , Packets = 1000, nanotimes = 7321


Count of Edges = 4 , Packets = 1000, nanotimes = 7176


Count of Edges = 4 , Packets = 1000, nanotimes = 7207


Count of Edges = 4 , Packets = 1000, nanotimes = 7903


Count of Edges = 4 , Packets = 1000, nanotimes = 6009


Count of Edges = 4 , Packets = 1000, nanotimes = 8292


Count of Edges = 4 , Packets = 1000, nanotimes = 6592


