WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=53013:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 


Count of Edges = 4 , Packets = 1000, nanotimes = 7661


Count of Edges = 4 , Packets = 1000, nanotimes = 14700


Count of Edges = 4 , Packets = 1000, nanotimes = 10504


Count of Edges = 4 , Packets = 1000, nanotimes = 8622


Count of Edges = 4 , Packets = 1000, nanotimes = 7147


Count of Edges = 4 , Packets = 1000, nanotimes = 10433


Count of Edges = 4 , Packets = 1000, nanotimes = 10386


Count of Edges = 4 , Packets = 1000, nanotimes = 8666


Count of Edges = 4 , Packets = 1000, nanotimes = 11547


Count of Edges = 4 , Packets = 1000, nanotimes = 10292


Count of Edges = 4 , Packets = 1000, nanotimes = 10079


Count of Edges = 4 , Packets = 1000, nanotimes = 8767


Count of Edges = 4 , Packets = 1000, nanotimes = 11199


Count of Edges = 4 , Packets = 1000, nanotimes = 9941


Count of Edges = 4 , Packets = 1000, nanotimes = 11730


Count of Edges = 4 , Packets = 1000, nanotimes = 10681


Count of Edges = 4 , Packets = 1000, nanotimes = 8539


Count of Edges = 4 , Packets = 1000, nanotimes = 9393


Count of Edges = 4 , Packets = 1000, nanotimes = 8614


Count of Edges = 4 , Packets = 1000, nanotimes = 10388


Count of Edges = 4 , Packets = 1000, nanotimes = 10769


Count of Edges = 4 , Packets = 1000, nanotimes = 9434


Count of Edges = 4 , Packets = 1000, nanotimes = 8739


Count of Edges = 4 , Packets = 1000, nanotimes = 11323


Count of Edges = 4 , Packets = 1000, nanotimes = 12086


Count of Edges = 4 , Packets = 1000, nanotimes = 10041


Count of Edges = 4 , Packets = 1000, nanotimes = 9876


Count of Edges = 4 , Packets = 1000, nanotimes = 9415


Count of Edges = 4 , Packets = 1000, nanotimes = 7837


Count of Edges = 4 , Packets = 1000, nanotimes = 8246


Count of Edges = 4 , Packets = 1000, nanotimes = 8663


Count of Edges = 4 , Packets = 1000, nanotimes = 8647


Count of Edges = 4 , Packets = 1000, nanotimes = 10892


Count of Edges = 4 , Packets = 1000, nanotimes = 8237


Count of Edges = 4 , Packets = 1000, nanotimes = 9090


Count of Edges = 4 , Packets = 1000, nanotimes = 11187


Count of Edges = 4 , Packets = 1000, nanotimes = 10441

0,004 s/op
# Warmup Iteration   2: 
